Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta
ADANIENT.NS,2023-05-31,0.0,0.62,2541.1,2573.0,2428.0,2633.7,1785.35,4165.3,1193.5,Bullish,0.014427521575346238,2.410578377251045
ADANIPORTS.NS,2023-05-31,0.0,0.44,736.15,749.0,721.3,737.5,656.75,946.65,462.45,Bullish,0.00311756799456624,1.4754598909494427
AWL.NS,2023-05-31,0.0,0.56,441.2,450.0,425.55,488.7,366.0,815.95,344.45,Bullish,0.004521032949953843,1.7668344881177687
AMBUJACEM.NS,2023-05-31,0.0,0.25,428.0,430.8,425.05,430.9,375.75,587.75,329.9,Bullish,0.00453166733379156,0.8467897178796845
BAJFINANCE.NS,2023-05-31,0.0,0.38,6954.8,7026.0,6930.0,7005.8,6013.3,7719.55,5534.45,Bullish,0.0036232714595346594,1.0535785499175094
BAJAJFINSV.NS,2023-05-31,0.0,0.56,1452.35,1465.0,1447.25,1465.85,1318.8,1802.0,1223.15,Bullish,0.0018522113499718329,1.2777486228702577
DLF.NS,2023-05-31,0.0,0.25,468.95,475.8,467.8,482.65,409.65,482.65,342.7,Bullish,0.004077064760889177,1.5755296748787575
DIVISLAB.NS,2023-05-31,0.0,0.5,3488.05,3503.75,3420.05,3514.0,3051.0,3836.45,2750.85,Bullish,0.002514185975524494,1.0528346885836177
HCLTECH.NS,2023-05-31,0.0,0.25,1140.3,1153.35,1132.1,1140.3,1048.0,1149.6,895.85,Bullish,0.00246156813067444,1.2844775822463104
HDFCAMC.NS,2023-05-31,0.0,0.25,1963.7,1970.0,1936.15,1963.7,1728.0,2295.35,1672.85,Bullish,0.0029850262427525524,1.3275095677598612
ICICIGI.NS,2023-05-31,0.0,0.44,1174.0,1193.1,1169.25,1190.95,1058.65,1277.0,1059.6,Bullish,0.002409753485821035,2.0049277085377484
ITC.NS,2023-05-31,0.0,0.44,442.8,452.0,442.45,449.9,409.05,449.9,324.4,Bullish,0.0015441874765966005,0.8457864524153593
NAUKRI.NS,2023-05-31,0.0,0.44,4096.25,4165.0,4058.1,4207.1,3637.6,4360.85,3375.8,Bullish,0.0017523666518327705,2.8235873379862877
LTIM.NS,2023-05-31,0.0,0.56,4972.05,5027.75,4951.45,5001.1,4153.05,5155.7,4152.85,Bullish,0.004475764978851174,1.0082231466038092
M&M.NS,2023-05-31,0.0,0.31,1307.1,1328.25,1305.3,1330.15,1205.3,1388.0,1128.3,Bullish,0.0017851499697136108,1.6612017881790118
MARICO.NS,2023-05-31,0.0,0.44,543.65,547.95,542.0,544.15,489.75,549.45,468.15,Bullish,0.0032909614222273982,1.854186243305326
MUTHOOTFIN.NS,2023-05-31,0.0,0.69,1117.25,1126.2,1110.35,1128.2,1003.25,1142.1,915.8,Bullish,0.0024807784165053427,1.3207573029164592
TATAMOTORS.NS,2023-05-31,0.0,0.38,524.5,527.5,516.4,530.85,472.6,530.85,378.35,Bullish,0.0030383419124372516,1.9627262003622148
TATAPOWER.NS,2023-05-31,0.0,0.38,214.9,219.0,214.65,217.0,196.15,231.65,183.95,Bullish,0.0017012763642550895,1.3210232009444427
TECHM.NS,2023-05-31,0.0,0.44,1109.95,1119.4,1096.0,1114.75,981.05,1144.2,986.15,Bullish,0.0023368285053317734,1.023839643643879
MCDOWELL-N.NS,2023-05-31,0.0,0.38,872.3,874.95,867.0,872.3,763.7,941.85,735.65,Bullish,0.004999476145778818,0.8037984228873086
WIPRO.NS,2023-05-31,0.0,0.44,402.75,403.45,400.5,402.75,372.05,413.7,356.2,Bullish,0.0017544633085387834,0.9751709562892807
