Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta
AARTIPHARM.ns,2023-06-05,0.0,0.25,372.25,375.0,360.55,408.65,336.0,408.65,247.15,Bullish,1,1
ACE.ns,2023-06-05,0.0,0.44,486.95,503.0,485.0,495.9,415.0,495.9,268.0,Bullish,1,1
ADVENZYMES.ns,2023-06-05,0.0,0.38,283.4,287.5,282.3,289.85,258.2,315.5,229.5,Bullish,1,1
AHLUCONT.ns,2023-06-05,0.0,0.31,593.65,602.5,581.65,599.35,520.0,599.35,405.35,Bullish,1,1
ALOKINDS.ns,2023-06-05,0.0,0.31,13.65,14.05,13.6,14.25,12.55,18.7,10.6,Bullish,1,1
AMIORG.ns,2023-06-05,0.0,0.31,1200.2,1230.0,1195.0,1232.25,1012.0,1232.25,865.7,Bullish,1,1
ANANTRAJ.ns,2023-06-05,0.0,0.31,158.3,160.5,155.5,158.3,133.95,158.3,82.0,Bullish,1,1
APOLLOPIPE.ns,2023-06-05,0.0,0.38,664.6,672.0,647.0,664.6,578.4,664.6,467.5,Bullish,1,1
ARVIND.ns,2023-06-05,0.0,0.44,129.8,130.65,126.3,129.8,105.0,129.8,79.85,Bullish,1,1
ASHOKA.ns,2023-06-05,0.0,0.25,81.05,83.4,80.5,89.15,74.65,91.1,71.8,Bearish,1,1
ASTRAMICRO.ns,2023-06-05,0.0,0.31,354.0,360.45,351.55,354.0,295.05,354.0,218.3,Bullish,1,1
ASTRAZEN.ns,2023-06-05,0.0,0.5,3453.65,3519.8,3444.45,3562.45,3125.0,3562.45,2963.1,Bullish,1,1
BFUTILITIE.ns,2023-06-05,0.0,0.44,365.9,373.25,363.5,370.35,332.1,429.15,284.6,Bullish,1,1
BAJAJHIND.ns,2023-06-05,0.0,0.56,14.9,15.45,14.8,15.35,13.15,18.85,10.15,Bullish,1,1
BALMLAWRIE.ns,2023-06-05,0.0,0.31,136.95,137.7,130.9,136.95,116.9,136.95,108.25,Bullish,1,1
BEPL.ns,2023-06-05,0.0,0.38,164.5,165.0,159.75,164.5,101.2,164.5,87.8,Bullish,1,1
BOMDYEING.ns,2023-06-05,0.0,0.25,84.55,85.8,84.25,91.7,79.05,99.95,53.9,Bullish,1,1
BUTTERFLY.ns,2023-06-05,0.0,0.38,1157.2,1184.0,1140.95,1157.2,977.55,1814.3,1024.7,Bearish,1,1
CARERATING.ns,2023-06-05,0.0,0.31,698.6,704.0,675.5,703.3,630.0,703.3,473.2,Bullish,1,1
