Symbol,Date,NewsSentiment,Signal_strength,MinSignalStrength,Close,High,Low,Resistance,Support,52High,52Low,VWAP,Trend
AAPL,2023-05-18,0.0,0.33,0.07,174.34,175.0,172.58,174.34,162.8,174.55,125.02,150.95794503016,Bullish
BIIB,2023-05-18,0.0,0.27,0.07,304.17,306.23,303.0,318.06,274.9,318.06,194.69,269.65870812698427,Bullish
AMZN,2023-05-18,0.0,0.07,0.07,117.02,118.6,116.37,117.02,101.11,144.78,81.82,105.02160070840898,Bullish
GOOGL,2023-05-18,0.0,0.13,0.07,122.11,123.23,120.83,122.11,102.63,122.11,83.43,100.47082161500234,Bullish
KO,2023-05-18,0.0,0.27,0.07,62.75,63.04,62.64,64.3,62.64,65.22,54.39,60.982809464594,Bullish
MSFT,2023-05-18,0.0,0.2,0.07,316.8,317.99,313.72,316.8,275.37,316.8,214.25,258.0743356095994,Bullish
V,2023-05-18,0.0,0.33,0.07,232.27,234.08,231.75,234.6,223.48,234.6,177.65,211.47667263437373,Bullish
PG,2023-05-18,0.0,0.2,0.07,152.28,153.64,151.61,156.57,150.1,156.57,123.76,142.929523089467,Bullish
META,2023-05-18,0.0,0.2,0.07,242.52,244.48,241.19,243.18,207.13,243.18,88.91,151.44973575664022,Bullish
NVDA,2023-05-18,0.0,0.2,0.07,314.18,318.24,303.2,314.18,262.2,314.18,112.27,185.89492345253063,Bullish
JNJ,2023-05-18,0.0,0.13,0.07,157.94,158.73,157.56,165.84,157.56,180.25,151.05,165.767236050146,Bullish
WMT,2023-05-18,0.0,0.33,0.07,150.6,154.29,149.95,153.12,148.15,153.51,121.98,140.48765976215935,Bullish
MA,2023-05-18,0.0,0.2,0.07,387.13,390.23,386.04,387.13,361.0,387.13,283.38,345.4607733143282,Bullish
