Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ABB.NS,2023-06-23,0.0,0.25,4239.7,4303.8,4216.55,4376.0,3809.5,4376.0,2679.95,Bullish,0.0021427746749441484,2.1777640779396306,Nifty100
AMARAJABAT.ns,2023-06-23,0.0,0.69,635.05,636.9,625.0,641.5,594.65,664.0,485.2,Bullish,1,1,Niftysmallcap100
ABBOTINDIA.ns,2023-06-23,0.0,0.56,22659.3,22719.95,22470.05,23093.5,20751.0,23093.5,18085.4,Bullish,0.0014330916235409802,0.21860299077822795,NIFTYMIDCAP100
ANGELONE.ns,2023-06-23,0.0,0.44,1622.45,1630.0,1571.3,1622.5,1198.1,1634.25,1002.85,Bullish,1,1,Niftysmallcap100
ALOKINDS.ns,2023-06-23,0.0,0.31,17.55,18.3,17.2,18.25,12.6,18.25,10.6,Bullish,1,1,NiftyMicroCap250
BSE.ns,2023-06-23,0.0,0.38,608.55,619.95,596.0,608.55,521.0,611.55,407.8,Bullish,1,1,Niftysmallcap100
BALAMINES.ns,2023-06-23,0.0,0.25,2289.1,2355.0,2275.8,2437.55,1880.0,3100.85,1942.4,Bearish,1,1,Niftysmallcap100
APOLLOHOSP.NS,2023-06-23,0.0,0.25,5045.45,5084.4,5001.0,5218.75,4451.95,5218.75,4200.95,Bullish,0.004376827035926874,0.5735400651776721,Nifty100
ASIANPAINT.NS,2023-06-23,0.0,0.38,3297.7,3304.15,3253.05,3318.7,3046.0,3318.7,2705.65,Bullish,0.0025404054562102505,0.4358320371934402,Nifty100
APOLLOTYRE.ns,2023-06-23,0.0,0.5,415.9,420.65,410.45,419.45,363.4,419.45,273.3,Bullish,0.0021261876045466305,0.5165898105460824,NIFTYMIDCAP100
DMART.NS,2023-06-23,0.0,0.56,3744.05,3845.0,3731.9,4085.6,3382.15,4320.9,3306.8,Bullish,0.003179041188169311,1.7299781303902635,Nifty100
ASHOKLEY.ns,2023-06-23,0.0,0.25,161.6,164.25,159.65,167.95,144.1,167.95,134.6,Bullish,0.004382656998480396,0.5313521250242633,NIFTYMIDCAP100
ASTRAL.ns,2023-06-23,0.0,0.25,1960.5,1972.0,1927.4,2006.95,1634.25,2006.95,1301.3,Bullish,0.004048401873194971,0.392643479960779,NIFTYMIDCAP100
APOLLOPIPE.ns,2023-06-23,0.0,0.25,708.65,728.1,707.0,733.65,600.0,733.65,467.5,Bullish,1,1,NiftyMicroCap250
BIKAJI.ns,2023-06-23,0.0,0.44,426.8,432.4,416.05,426.8,372.25,443.05,310.9,Bullish,1,1,Niftysmallcap100
AUROPHARMA.ns,2023-06-23,0.0,0.44,699.15,701.0,665.75,699.15,582.15,699.15,404.2,Bullish,0.007090913209222919,0.09626990146998782,NIFTYMIDCAP100
ARVINDFASN.ns,2023-06-23,0.0,0.31,327.0,337.0,326.0,341.55,263.95,374.65,265.85,Bullish,1,1,NiftyMicroCap250
BAJFINANCE.NS,2023-06-23,0.0,0.44,6989.65,7055.0,6956.1,7386.2,6729.75,7432.4,5534.45,Bullish,0.0003471569066800395,0.4971547301933925,Nifty100
BIRLACORPN.ns,2023-06-23,0.0,0.62,1225.45,1234.95,1190.5,1243.45,979.95,1243.45,852.9,Bullish,1,1,Niftysmallcap100
ARVIND.ns,2023-06-23,0.0,0.31,135.05,139.8,134.05,137.85,117.2,137.85,79.85,Bullish,1,1,NiftyMicroCap250
BAJAJFINSV.NS,2023-06-23,0.0,0.38,1501.95,1519.7,1483.95,1541.95,1405.0,1800.7,1223.15,Bullish,0.0015981487748047167,1.0439603613429118,Nifty100
BATAINDIA.ns,2023-06-23,0.24,0.64,1625.5,1636.5,1614.45,1650.05,1509.0,1867.5,1387.0,Bullish,0.00016084732401333698,0.758934796926547,NIFTYMIDCAP100
BANKBARODA.NS,2023-06-23,0.0,0.25,192.2,194.15,190.55,198.1,179.3,198.1,136.15,Bullish,0.002018662156834328,1.4317832598896307,Nifty100
BCG.ns,2023-06-23,0.0,0.62,31.4,31.4,31.4,34.75,14.1,39.7,9.35,Bullish,1,1,Niftysmallcap100
ASTRAMICRO.ns,2023-06-23,0.0,0.25,367.95,384.4,365.25,384.4,316.2,384.4,218.3,Bullish,1,1,NiftyMicroCap250
BERGEPAINT.NS,2023-06-23,0.0,0.62,675.65,678.75,669.05,683.5,615.05,683.5,539.5,Bullish,0.002616828123148312,0.6814077264404023,Nifty100
CESC.ns,2023-06-23,0.0,0.5,71.9,73.05,71.6,73.1,68.7,81.2,63.2,Bullish,1,1,Niftysmallcap100
ASTRAZEN.ns,2023-06-23,0.0,0.5,3707.3,3789.0,3690.05,3707.3,3125.0,3707.3,3000.2,Bullish,1,1,NiftyMicroCap250
CARBORUNIV.ns,2023-06-23,0.0,0.25,1192.95,1225.65,1182.0,1238.7,1134.75,1238.7,800.5,Bullish,1,1,Niftysmallcap100
BAJAJCON.ns,2023-06-23,0.0,0.31,187.2,187.8,183.1,194.15,179.0,194.15,147.3,Bullish,1,1,NiftyMicroCap250
BRITANNIA.NS,2023-06-23,0.0,0.56,4970.8,4986.95,4945.3,5069.55,4485.0,5069.55,3713.1,Bullish,0.003952630008320506,1.5611372900904679,Nifty100
CIPLA.NS,2023-06-23,0.0,0.62,989.4,999.95,985.65,1011.25,915.45,1173.4,862.35,Bullish,0.00172577965565213,0.3705119469223389,Nifty100
BOMDYEING.ns,2023-06-23,0.0,0.5,100.3,105.8,99.5,106.5,79.05,106.5,53.9,Bullish,1,1,NiftyMicroCap250
CROMPTON.ns,2023-06-23,0.0,0.38,289.3,291.0,281.45,293.7,256.2,387.65,252.55,Bullish,0.0005912964388758821,1.0740364653492482,NIFTYMIDCAP100
BUTTERFLY.ns,2023-06-23,0.0,0.31,1155.2,1165.65,1131.0,1193.2,1049.4,1768.55,1024.7,Bullish,1,1,NiftyMicroCap250
COCHINSHIP.ns,2023-06-23,0.0,0.38,572.1,586.95,566.45,595.65,468.95,677.5,414.0,Bullish,1,1,Niftysmallcap100
CUMMINSIND.ns,2023-06-23,0.0,0.38,1846.7,1855.5,1807.1,1899.5,1556.0,1899.5,1185.9,Bullish,0.0021191239318317,0.5013501090640003,NIFTYMIDCAP100
CAMS.ns,2023-06-23,0.0,0.38,2156.8,2189.95,2147.85,2229.95,2083.6,2666.9,2015.55,Bullish,1,1,Niftysmallcap100
CARERATING.ns,2023-06-23,0.0,0.38,692.5,697.25,681.85,708.0,632.0,708.0,473.2,Bullish,1,1,NiftyMicroCap250
CREDITACC.ns,2023-06-23,0.0,0.31,1383.7,1396.9,1316.85,1383.7,1168.7,1383.7,854.45,Bullish,1,1,Niftysmallcap100
DEEPAKNTR.ns,2023-06-23,0.0,0.5,2211.7,2282.1,2196.05,2268.0,1918.85,2343.5,1757.4,Bullish,0.000652216893098662,1.3556420547755854,NIFTYMIDCAP100
CMSINFO.ns,2023-06-23,0.0,0.31,344.45,357.25,343.1,355.4,296.45,355.4,269.25,Bullish,1,1,NiftyMicroCap250
CYIENT.ns,2023-06-23,0.0,0.25,1460.3,1487.0,1451.0,1514.55,1264.65,1514.55,730.75,Bullish,1,1,Niftysmallcap100
DRREDDY.NS,2023-06-23,0.0,0.31,4993.9,5015.0,4901.0,4993.9,4384.25,4993.9,4200.95,Bearish,0.00474942665681,0.42556579389007476,Nifty100
CARTRADE.ns,2023-06-23,0.0,0.25,478.35,483.9,470.45,539.35,413.1,609.85,347.9,Bullish,1,1,NiftyMicroCap250
CARYSIL.ns,2023-06-23,0.0,0.62,666.0,688.8,645.0,677.05,542.0,677.05,431.6,Bullish,1,1,NiftyMicroCap250
NYKAA.NS,2023-06-23,0.0,0.62,148.9,151.65,148.35,150.45,122.15,211.6,115.95,Bullish,0.008629953695256952,1.3542904520405281,Nifty100
