date,title,link,sentiment,sentiment_type,relevant
2023-03-31,Investment bureau to be set up for ease of buiness: HP CM - Times of India,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2NpdHkvc2hpbWxhL2ludmVzdG1lbnQtYnVyZWF1LXRvLWJlLXNldC11cC1mb3ItZWFzZS1vZi1idWluZXNzLWhwLWNtL2FydGljbGVzaG93Lzk5MTMwOTQ0LmNtc9IBfGh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2NpdHkvc2hpbWxhL2ludmVzdG1lbnQtYnVyZWF1LXRvLWJlLXNldC11cC1mb3ItZWFzZS1vZi1idWluZXNzLWhwLWNtL2FtcF9hcnRpY2xlc2hvdy85OTEzMDk0NC5jbXM?oc=5,0.11,Positive,True
2023-05-13,Bangarapet Election Result 2023 LIVE Updates and Highlights: S N Narayanaswamy K M of INC Wins - News18,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5uZXdzMTguY29tL2VsZWN0aW9ucy9iYW5nYXJhcGV0LWVsZWN0aW9uLXJlc3VsdC0yMDIzLWxpdmUtdXBkYXRlcy1hbmQtaGlnaGxpZ2h0cy13aW5uZXItbG9zZXItbGVhZGluZy10cmFpbGluZy1tbGEtbWFyZ2luLTc3OTI4MzEuaHRtbNIBlgFodHRwczovL3d3dy5uZXdzMTguY29tL2FtcC9lbGVjdGlvbnMvYmFuZ2FyYXBldC1lbGVjdGlvbi1yZXN1bHQtMjAyMy1saXZlLXVwZGF0ZXMtYW5kLWhpZ2hsaWdodHMtd2lubmVyLWxvc2VyLWxlYWRpbmctdHJhaWxpbmctbWxhLW1hcmdpbi03NzkyODMxLmh0bWw?oc=5,-0.03,Negative,True
2023-03-31,Power tariff increased by 22 paise per unit in Himachal Pradesh - Times of India,https://news.google.com/rss/articles/CBMiiAFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L3NoaW1sYS9wb3dlci10YXJpZmYtaW5jcmVhc2VkLWJ5LTIyLXBhaXNlLXBlci11bml0LWluLWhpbWFjaGFsLXByYWRlc2gvYXJ0aWNsZXNob3cvOTkxNDg1NDEuY21z0gGDAWh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2NpdHkvc2hpbWxhL3Bvd2VyLXRhcmlmZi1pbmNyZWFzZWQtYnktMjItcGFpc2UtcGVyLXVuaXQtaW4taGltYWNoYWwtcHJhZGVzaC9hbXBfYXJ0aWNsZXNob3cvOTkxNDg1NDEuY21z?oc=5,0.11,Positive,False
2023-03-31,PET scan facilities in all medical colleges in Himachal Pradesh soon: CM Sukhvinder Singh Sukhu - Times of India,https://news.google.com/rss/articles/CBMipwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L3NoaW1sYS9wZXQtc2Nhbi1mYWNpbGl0aWVzLWluLWFsbC1tZWRpY2FsLWNvbGxlZ2VzLWluLWhpbWFjaGFsLXByYWRlc2gtc29vbi1jbS1zdWtodmluZGVyLXNpbmdoLXN1a2h1L2FydGljbGVzaG93Lzk5MTQ5NDg5LmNtc9IBogFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9jaXR5L3NoaW1sYS9wZXQtc2Nhbi1mYWNpbGl0aWVzLWluLWFsbC1tZWRpY2FsLWNvbGxlZ2VzLWluLWhpbWFjaGFsLXByYWRlc2gtc29vbi1jbS1zdWtodmluZGVyLXNpbmdoLXN1a2h1L2FtcF9hcnRpY2xlc2hvdy85OTE0OTQ4OS5jbXM?oc=5,0.11,Positive,False
2023-02-21,No change in strategy despite share price collapse: Laybuy CEO - Retail Banker International,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnJldGFpbGJhbmtlcmludGVybmF0aW9uYWwuY29tL2FuYWx5c2lzL2xheWJ1eS1ibnBsLWJ1aW5lc3Mtc3RyYXRlZ3ktc2hhcmUtcHJpY2UtY29sbGFwc2Uv0gEA?oc=5,0.14,Positive,False
2022-11-21,Introducing the Family Business Center director: Family Business ... - Loyola University Chicago,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3Lmx1Yy5lZHUvZmFtaWx5YnVzaW5lc3MvYWJvdXQvdGhldGVhbS9pbnRyb2R1Y2luZ3RoZWZhbWlseWJ1c2luZXNzY2VudGVyZGlyZWN0b3Iv0gEA?oc=5,0.16,Positive,True
2022-12-15,The top ten most sought after Business Podcasts in the market - Business Plus,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vYnVzaW5lc3NwbHVzLmllL2J1c2luZXNzLWluc2lnaHRzL2J1c2luZXNzLXBvZGNhc3RzLXRvcC10ZW4v0gEA?oc=5,0.09,Positive,True
2022-04-03,"Cape buiness licenses issued for mortgage loan company, night club - Southeast Missourian",https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnNlbWlzc291cmlhbi5jb20vc3RvcnkvMjk0MjMzOS5odG1s0gEA?oc=5,0.0,Neutral,True
2023-03-14,Binghamton-based MediaBrush Marketing certified as a Minority & Women Business Enterprise by New York State - WBNG,https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy53Ym5nLmNvbS8yMDIzLzAzLzE0L2JpbmdoYW10b24tYmFzZWQtbWVkaWFicnVzaC1tYXJrZXRpbmctY2VydGlmaWVkLW1pbm9yaXR5LXdvbWVuLWJ1aW5lc3MtZW50ZXJwcmlzZS1ieS1uZXcteW9yay1zdGF0ZS_SAZMBaHR0cHM6Ly93d3cud2JuZy5jb20vMjAyMy8wMy8xNC9iaW5naGFtdG9uLWJhc2VkLW1lZGlhYnJ1c2gtbWFya2V0aW5nLWNlcnRpZmllZC1taW5vcml0eS13b21lbi1idWluZXNzLWVudGVycHJpc2UtYnktbmV3LXlvcmstc3RhdGUvP291dHB1dFR5cGU9YW1w?oc=5,0.08,Positive,False
2022-07-19,Strengthening Australia’s Modern Slavery Act - Human Rights Law Centre,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmhybGMub3JnLmF1L3JlcG9ydHMtbmV3cy1jb21tZW50YXJ5L3N0cmVuZ3RoZW5pbmctYXVzdHJhbGlhcy1tb2Rlcm4tc2xhdmVyeS1hY3TSAQA?oc=5,0.11,Positive,True
