date,title,link,sentiment,sentiment_type,relevant
2023-05-14,New Twitter CEO Linda Yaccarino discloses plan to build ‘Twitter 2.0’ | Mint - Mint,https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy93b3JsZC9uZXctdHdpdHRlci1jZW8tbGluZGEteWFjY2FyaW5vLWV4Y2l0ZWQtdG8tdHJhbnNmb3JtLXNvY2lhbC1tZWRpYS1wbGF0Zm9ybS1lbG9uLW11c2stMTE2ODQwMjkzMjcxNTQuaHRtbNIBAA?oc=5,0.07,Positive,True
2023-05-13,"2 Adani companies set to raise Rs 21,000 crore from share sales via QIP route - Times of India",https://news.google.com/rss/articles/CBMimQFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy8yLWFkYW5pLWNvbXBhbmllcy1zZXQtdG8tcmFpc2UtcnMtMjEwMDAtY3JvcmUtZnJvbS1zaGFyZS1zYWxlcy12aWEtcWlwLXJvdXRlL2FydGljbGVzaG93LzEwMDIxOTQxNi5jbXPSAQA?oc=5,0.26,Positive,True
2023-05-14,"Q4 results this week: ITC, SBI, Zomato, IndiGo, Indian Oil, Airtel and others - The Economic Times",https://news.google.com/rss/articles/CBMikQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9xNC1yZXN1bHRzLXRoaXMtd2Vlay1pdGMtc2JpLXpvbWF0by1pbmRpZ28taW5kaWFuLW9pbC1haXJ0ZWwtYW5kLW90aGVycy9hcnRpY2xlc2hvdy8xMDAyMjcwMzQuY21z0gGVAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9uZXdzL3E0LXJlc3VsdHMtdGhpcy13ZWVrLWl0Yy1zYmktem9tYXRvLWluZGlnby1pbmRpYW4tb2lsLWFpcnRlbC1hbmQtb3RoZXJzL2FtcF9hcnRpY2xlc2hvdy8xMDAyMjcwMzQuY21z?oc=5,0.33,Positive,True
2023-05-14,Mothers Day: 8 tips for new moms to manage financial stability - Economic Times,https://news.google.com/rss/articles/CBMikAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9tb3RoZXJzLWRheS04LXRpcHMtZm9yLW5ldy1tb21zLXRvLW1hbmFnZS1maW5hbmNpYWwtc3RhYmlsaXR5L2FydGljbGVzaG93LzEwMDIyMjQxMy5jbXPSAYsBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL25ld3MvbW90aGVycy1kYXktOC10aXBzLWZvci1uZXctbW9tcy10by1tYW5hZ2UtZmluYW5jaWFsLXN0YWJpbGl0eS9hbXBfYXJ0aWNsZXNob3cvMTAwMjIyNDEzLmNtcw?oc=5,0.33,Positive,True
2023-05-14,"Multibagger in just 1 year: Small-Cap bank surges with a whopping 1,623 per cent profit growth and declares stellar dividend! - Dalal Street Investment Journal",https://news.google.com/rss/articles/CBMipgFodHRwczovL3d3dy5kc2lqLmluL2RzaWphcnRpY2xlZGV0YWlsL211bHRpYmFnZ2VyLWluLWp1c3QtMS15ZWFyLXNtYWxsLWNhcC1iYW5rLXN1cmdlcy13aXRoLWEtd2hvcHBpbmctMTYyMy1wZXItY2VudC1wcm9maXQtZ3Jvd3RoLWFuZC1kZWNsYXJlcy1zdGVsbGFyLWRpdmlkZW5kLTMwMzkx0gEA?oc=5,0.25,Positive,True
2023-05-13,"Gold Rate Today: Prices of precious metals dip further, is it the right time to buy? Check current rates in your city here - DNP INDIA ",https://news.google.com/rss/articles/CBMisAFodHRwczovL3d3dy5kbnBpbmRpYS5pbi9jdXJyZW50LWFmZmFpcnMvYnVzaW5lc3MvZ29sZC1yYXRlLXRvZGF5LXByaWNlcy1vZi1wcmVjaW91cy1tZXRhbHMtZGlwLWZ1cnRoZXItaXMtaXQtdGhlLXJpZ2h0LXRpbWUtdG8tYnV5LWNoZWNrLWN1cnJlbnQtcmF0ZXMtaW4teW91ci1jaXR5LWhlcmUvMjI4ODUxL9IBsAFodHRwczovL3d3dy5kbnBpbmRpYS5pbi9jdXJyZW50LWFmZmFpcnMvYnVzaW5lc3MvZ29sZC1yYXRlLXRvZGF5LXByaWNlcy1vZi1wcmVjaW91cy1tZXRhbHMtZGlwLWZ1cnRoZXItaXMtaXQtdGhlLXJpZ2h0LXRpbWUtdG8tYnV5LWNoZWNrLWN1cnJlbnQtcmF0ZXMtaW4teW91ci1jaXR5LWhlcmUvMjI4ODUxLw?oc=5,-0.06,Negative,True
2023-05-13,More than 50 small-caps fetch double-digit returns as market posts smart gains - Moneycontrol,https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3Mvc3RvY2tzL21hcmtldC1wb3N0cy1zbWFydC1nYWlucy1tb3JlLXRoYW4tNTAtc21hbGwtY2Fwcy1mZXRjaC1kb3VibGUtZGlnaXQtcmV0dXJucy0xMDU3ODczMS5odG1s0gGPAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9zdG9ja3MvbWFya2V0LXBvc3RzLXNtYXJ0LWdhaW5zLW1vcmUtdGhhbi01MC1zbWFsbC1jYXBzLWZldGNoLWRvdWJsZS1kaWdpdC1yZXR1cm5zLTEwNTc4NzMxLmh0bWwvYW1w?oc=5,0.11,Positive,True
2023-05-14,"Anand Mahindra Shares Throwback Pic On Mother's Day: ''Thank You For The Coaching, Ma'' - NDTV",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3Lm5kdHYuY29tL29mZmJlYXQvYW5hbmQtbWFoaW5kcmEtc2hhcmVzLXRocm93YmFjay1waWMtb24tbW90aGVycy1kYXktdGhhbmsteW91LWZvci10aGUtY29hY2hpbmctbWEtNDAzMzM1MdIBe2h0dHBzOi8vd3d3Lm5kdHYuY29tL29mZmJlYXQvYW5hbmQtbWFoaW5kcmEtc2hhcmVzLXRocm93YmFjay1waWMtb24tbW90aGVycy1kYXktdGhhbmsteW91LWZvci10aGUtY29hY2hpbmctbWEtNDAzMzM1MS9hbXAvMQ?oc=5,0.34,Positive,True
2023-05-13,"Vedanta's Historic-High Dividend of Rs 101.5, Dividend Yield at Whopping 36.9% - Investing.com India",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vaW4uaW52ZXN0aW5nLmNvbS9uZXdzL3ZlZGFudGFzLWhpc3RvcmljaGlnaC1kaXZpZGVuZC1vZi1ycy0xMDE1LWRpdmlkZW5kLXlpZWxkLWF0LXdob3BwaW5nLTM2OS0zNjQyOTk00gEA?oc=5,0.1,Positive,True
2023-05-12,"Termination of aircraft leases would have no consequence, says Go First; lessors question airline's reviva - The Economic Times",https://news.google.com/rss/articles/CBMiygFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvdHJhbnNwb3J0YXRpb24vYWlybGluZXMtLy1hdmlhdGlvbi90ZXJtaW5hdGlvbi1vZi1haXJjcmFmdC1sZWFzZXMtd291bGQtaGF2ZS1uby1jb25zZXF1ZW5jZS1zYXlzLWdvLWZpcnN0LWxlc3NvcnMtcXVlc3Rpb24tYWlybGluZXMtcmV2aXZhbC9hcnRpY2xlc2hvdy8xMDAxOTIxNzYuY21z0gHOAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9pbmR1c3RyeS90cmFuc3BvcnRhdGlvbi9haXJsaW5lcy0vLWF2aWF0aW9uL3Rlcm1pbmF0aW9uLW9mLWFpcmNyYWZ0LWxlYXNlcy13b3VsZC1oYXZlLW5vLWNvbnNlcXVlbmNlLXNheXMtZ28tZmlyc3QtbGVzc29ycy1xdWVzdGlvbi1haXJsaW5lcy1yZXZpdmFsL2FtcF9hcnRpY2xlc2hvdy8xMDAxOTIxNzYuY21z?oc=5,0.26,Positive,True
2023-05-14,Hero MotoCorp gearing up for highest ever model introductions in FY24: CEO Niranjan Gupta - Economic Times,https://news.google.com/rss/articles/CBMiwQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vaW5kdXN0cnkvYXV0by90d28td2hlZWxlcnMtdGhyZWUtd2hlZWxlcnMvaGVyby1tb3RvY29ycC1nZWFyaW5nLXVwLWZvci1oaWdoZXN0LWV2ZXItbW9kZWwtaW50cm9kdWN0aW9ucy1pbi1meTI0LWNlby1uaXJhbmphbi1ndXB0YS9hcnRpY2xlc2hvdy8xMDAyMjM1NDQuY21z0gG8AWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9pbmR1c3RyeS9hdXRvL3R3by13aGVlbGVycy10aHJlZS13aGVlbGVycy9oZXJvLW1vdG9jb3JwLWdlYXJpbmctdXAtZm9yLWhpZ2hlc3QtZXZlci1tb2RlbC1pbnRyb2R1Y3Rpb25zLWluLWZ5MjQtY2VvLW5pcmFuamFuLWd1cHRhL2FtcF9hcnRpY2xlc2hvdy8xMDAyMjM1NDQuY21z?oc=5,0.34,Positive,True
2023-05-14,"Top 10 Hatchbacks April 2023 - Baleno, Swift, Tiago, Altroz, i10 - GaadiWaadi.com",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZ2FhZGl3YWFkaS5jb20vdG9wLTEwLWhhdGNoYmFja3MtYXByaWwtMjAyMy1iYWxlbm8tc3dpZnQtdGlhZ28tYWx0cm96LWkxMC0yL9IBWGh0dHBzOi8vZ2FhZGl3YWFkaS5jb20vdG9wLTEwLWhhdGNoYmFja3MtYXByaWwtMjAyMy1iYWxlbm8tc3dpZnQtdGlhZ28tYWx0cm96LWkxMC0yL2FtcC8?oc=5,0.25,Positive,True
2023-05-13,Tata Group stock announces dividend after 7 years; Profit After Tax jump 80% QoQ - Trade Brains,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vdHJhZGVicmFpbnMuaW4vZmVhdHVyZXMvdGF0YS1ncm91cC1zdG9jay1hbm5vdW5jZXMtZGl2aWRlbmQtYWZ0ZXItNy15ZWFycy1wcm9maXQtYWZ0ZXItdGF4LWp1bXAtODAtcW9xL9IBAA?oc=5,0.0,Neutral,True
2023-05-12,"Behind spurt in WhatsApp missed calls: Fake numbers, shadowy sites - The Indian Express",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9iZWhpbmQtc3B1cnQtaW4td2hhdHNhcHAtbWlzc2VkLWNhbGxzLWZha2UtbnVtYmVycy1zaGFkb3d5LXNpdGVzLTg2MDY0MTEv0gEA?oc=5,0.01,Positive,True
2023-05-14,"Sub-compact Sedans’ Best Budget Variants: Maruti Suzuki Dzire, Hyundai Aura, and Honda Amaze - CarToq.com",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmNhcnRvcS5jb20vYnV5aW5nLWFkdmljZS9zdWItY29tcGFjdC1zZWRhbnMtYmVzdC1idWRnZXQtdmFyaWFudHMtbWFydXRpLXN1enVraS1kemlyZS1oeXVuZGFpLWF1cmEtYW5kLWhvbmRhLWFtYXplL9IBggFodHRwczovL3d3dy5jYXJ0b3EuY29tL2J1eWluZy1hZHZpY2Uvc3ViLWNvbXBhY3Qtc2VkYW5zLWJlc3QtYnVkZ2V0LXZhcmlhbnRzLW1hcnV0aS1zdXp1a2ktZHppcmUtaHl1bmRhaS1hdXJhLWFuZC1ob25kYS1hbWF6ZS9hbXAv?oc=5,0.33,Positive,True
2023-05-14,"Centre issues order against Amazon, Flipkart and others for selling seat belt alarm stopper clips, directs to delist the | Mint - Mint",https://news.google.com/rss/articles/CBMiqAFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9jZW50cmUtaXNzdWVzLW9yZGVyLWFnYWluc3QtYW1hem9uLWZsaXBrYXJ0LWFuZC1vdGhlcnMtZm9yLXNlbGxpbmctc2VhdC1iZWx0LWFsYXJtLXN0b3BwZXItY2xpcHMtZGlyZWN0cy10by1kZWxpc3QtdGhlLTExNjg0MDU4NzM2MDE0Lmh0bWzSAQA?oc=5,0.0,Positive,True
2023-05-12,"Be careful about retail, unsecured loans, RBI tells banks and NBFCs - CNBCTV18",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmNuYmN0djE4LmNvbS9maW5hbmNlL2JlLWNhcmVmdWwtYWJvdXQtcmV0YWlsLXVuc2VjdXJlZC1sb2Fucy1yYmktdGVsbHMtYmFua3MtYW5kLW5iZmNzLTE2NjQ1MjMxLmh0bdIBc2h0dHBzOi8vd3d3LmNuYmN0djE4LmNvbS9maW5hbmNlL2JlLWNhcmVmdWwtYWJvdXQtcmV0YWlsLXVuc2VjdXJlZC1sb2Fucy1yYmktdGVsbHMtYmFua3MtYW5kLW5iZmNzLTE2NjQ1MjMxLmh0bS9hbXA?oc=5,0.27,Positive,True
2023-05-13,Scoop! Tata Punch EV prototype spotted on a flatbed - Team-BHP,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnRlYW0tYmhwLmNvbS9uZXdzL3Njb29wLXRhdGEtcHVuY2gtZXYtcHJvdG90eXBlLXNwb3R0ZWQtZmxhdGJlZNIBT2h0dHBzOi8vd3d3LnRlYW0tYmhwLmNvbS9uZXdzL3Njb29wLXRhdGEtcHVuY2gtZXYtcHJvdG90eXBlLXNwb3R0ZWQtZmxhdGJlZD9hbXA?oc=5,0.03,Positive,True
2023-05-14,Skoda cars at NATRAX: Driving the Slavia & Kodiaq at top speeds - Team-BHP,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnRlYW0tYmhwLmNvbS9uZXdzL3Nrb2RhLWNhcnMtbmF0cmF4LWRyaXZpbmctc2xhdmlhLWtvZGlhcS10b3Atc3BlZWRz0gFUaHR0cHM6Ly93d3cudGVhbS1iaHAuY29tL25ld3Mvc2tvZGEtY2Fycy1uYXRyYXgtZHJpdmluZy1zbGF2aWEta29kaWFxLXRvcC1zcGVlZHM_YW1w?oc=5,0.15,Positive,True
2023-05-14,ONGC scraps bids for flagship Daman gas field development over cost concerns - Economic Times,https://news.google.com/rss/articles/CBMiowFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vaW5kdXN0cnkvZW5lcmd5L29pbC1nYXMvb25nYy1zY3JhcHMtYmlkcy1mb3ItZmxhZ3NoaXAtZGFtYW4tZ2FzLWZpZWxkLWRldmVsb3BtZW50LW92ZXItY29zdC1jb25jZXJucy9hcnRpY2xlc2hvdy8xMDAyMjQzMTcuY21z0gGeAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9pbmR1c3RyeS9lbmVyZ3kvb2lsLWdhcy9vbmdjLXNjcmFwcy1iaWRzLWZvci1mbGFnc2hpcC1kYW1hbi1nYXMtZmllbGQtZGV2ZWxvcG1lbnQtb3Zlci1jb3N0LWNvbmNlcm5zL2FtcF9hcnRpY2xlc2hvdy8xMDAyMjQzMTcuY21z?oc=5,0.34,Positive,True
