,buy_price,stop_loss,sell_target,Quantity
MCDOWELL-N.NS,818.5499878,867.7410119628906,826.7354877,20.0
HINDUNILVR.NS,2643.149902,2650.60009765625,2669.581401,20.0
ITC.NS,422.1000061,442.4210119628906,426.3210062,20.0
APOLLOHOSP.NS,4495.100098,4615.8,4540.051099,20.0
EICHERMOT.NS,3609.949951,3670.0,3646.049451,20.0
ASIANPAINT.NS,3126.649902,3145.8,3157.916401,20.0
ABB.NS,3943.050049,3965.275952148437,3982.480549,20.0
M&M.NS,1273.0,1320.0,1285.73,20.0
BEL.NS,109.0500031,110.4499969482422,110.1405031,20.0
VBL.NS,1604.650024,1707.0620239257812,1620.696525,20.0
INDUSINDBK.NS,1268.800049,1249.699951171875,1281.488049,20.0
PIIND.NS,3511.75,3463.10009765625,3546.8675,28.47583113832135
PIDILITIND.NS,2581.949951171875,2572.60009765625,2607.7694506835937,38.73041766538224
HDFCAMC.NS,1875.699951171875,1927.0720239257807,1894.4569506835933,53.31343104078204
IRCTC.NS,647.75,635.3339880371094,654.2275,154.38054805094558
TATAMOTORS.NS,525.1500244140625,517.2999877929688,530.4015246582031,190.4217753994685
