,buy_price,stop_loss,sell_target,Quantity
ANANTRAJ.ns,158.5,155.32999999999998,160.085,9463.72239747634
GRSE.ns,504.7000122070313,498.0360119628906,509.7470123291016,2972.062539567941
JTEKTINDIA.ns,135.39999389648438,134.40699401855468,136.75399383544922,11078.287057728938
JAICORPLTD.ns,167.8000030517578,164.44400299072265,169.4780030822754,8939.213186648905
LAOPALA.ns,402.25,396.9,406.2725,3729.024238657552
MIDHANI.ns,236.1999969482422,231.4759970092773,238.5619969177246,6350.550463083581
PRIVISCL.ns,1150.050048828125,1129.205,1161.5505493164062,1304.2910624006895
SHANTIGEAR.ns,443.8999938964844,436.39398803710935,448.3389938354492,3379.139492283466
STARCEMENT.ns,142.5,140.18900299072266,143.925,10526.315789473683
TEGA.ns,904.0,885.92,913.04,1659.2920353982302
USHAMART.ns,240.3999938964844,236.86599700927735,242.80399383544923,6239.600823974631
VALIANTORG.ns,603.25,595.4479760742188,609.2825,2486.531288852052
ARVIND.ns,129.39999389648438,127.59599700927734,130.69399383544922,11591.96345248632
GABRIEL.ns,182.8500061035156,179.9280059814453,184.6785061645508,8203.445173257556
PSPPROJECT.ns,766.0,753.62,773.66,1958.22454308094
PGHL.ns,5325.0,5218.5,5378.25,281.6901408450704
HIL.ns,2920.25,2886.1,2949.4525,513.6546528550638
DBL.ns,212.0,208.4499969482422,214.12,7075.471698113208
MARKSANS.ns,88.94999694824219,87.26900299072265,89.83949691772462,16863.406986655806
AARTIPHARM.ns,373.3500061035156,365.8830059814453,377.0835061645508,4017.6777165609783
FCL.ns,321.6000061035156,315.16800598144533,324.8160061645508,4664.179015958055
HINDOILEXP.ns,196.75,192.815,198.7175,7623.888182973316
ORIENTCEM.ns,140.25,137.445,141.6525,10695.187165775402
RATEGAIN.ns,397.95001220703125,389.99101196289064,401.92951232910156,3769.3176378636053
THOMASCOOK.ns,68.19999694824219,66.83599700927735,68.8819969177246,21994.135881536306
TIDEWATER.ns,896.0,878.0799999999999,904.96,1674.107142857143
SHAREINDIA.ns,1301.800048828125,1275.7640478515625,1314.8180493164064,1152.2506865399903
THYROCARE.ns,479.3500061035156,469.7630059814453,484.1435061645508,3129.2374692826747
