,buy_price,stop_loss,sell_target,Quantity,Bucket
PIIND.NS,3741.60009765625,3847.6759521484373,3779.016098632813,13.0,Nifty100
M&M.NS,1381.0,1380.82,1394.81,36.0,Nifty100
BERGEPAINT.NS,676.75,667.5,683.5175,73.0,Nifty100
BRITANNIA.NS,4998.2001953125,4939.2,5048.182197265625,10.0,Nifty100
TATACONSUM.NS,864.5499877929688,856.0,873.1954876708985,57.0,Nifty100
BAJAJHLDNG.NS,7005.0,6901.75,7075.05,7.0,Nifty100
BEL.NS,122.3499984741211,122.255,123.5734984588623,408.0,Nifty100
SBILIFE.NS,1249.0,1263.8079760742187,1261.49,40.0,Nifty100
TATAPOWER.NS,222.8999938964844,220.1499938964844,225.1289938354492,224.0,Nifty100
ICICIPRULI.NS,521.0999755859375,529.8370239257813,526.3109753417968,95.0,Nifty100
NESTLEIND.NS,23107.0,22674.900390625,23338.07,2.0,Nifty100
AMBUJACEM.NS,461.25,457.0,465.8625,108.0,Nifty100
BAJFINANCE.NS,7174.0,7057.85009765625,7245.74,6.0,Nifty100
DRREDDY.NS,4896.5498046875,4815.131904296875,4945.515302734375,10.0,Nifty100
JSWSTEEL.NS,775.0,768.75,782.75,64.0,Nifty100
LICI.NS,600.8499755859375,595.4000244140625,606.8584753417969,83.0,Nifty100
BAJAJFINSV.NS,1504.199951171875,1475.635,1519.2419506835938,33.0,Nifty100
ITC.NS,452.95001220703125,445.04998779296875,457.47951232910157,110.0,Nifty100
MCDOWELL-N.NS,904.0999755859375,888.2999877929688,913.1409753417969,55.0,Nifty100
