,buy_price,stop_loss,sell_target,Quantity,Bucket
BOMDYEING.ns,98.25,98.44099700927734,99.2325,10.0,NiftyMicroCap250
CHENNPETRO.ns,388.25,389.4030059814453,392.1325,2.0,NiftyMicroCap250
DCXINDIA.ns,252.5500030517578,255.3880059814453,255.0755030822754,3.0,NiftyMicroCap250
GABRIEL.ns,191.5500030517578,189.1999969482422,193.4655030822754,5.0,NiftyMicroCap250
LAOPALA.ns,415.7999877929688,411.1000061035156,419.9579876708984,2.0,NiftyMicroCap250
TATASTLLP.ns,694.0499877929688,684.0999755859375,700.9904876708985,1.0,NiftyMicroCap250
TIDEWATER.ns,989.75,988.1339880371094,999.6475,1.0,NiftyMicroCap250
TINPLATE.ns,341.54998779296875,339.0,344.9654876708984,2.0,NiftyMicroCap250
HEMIPROP.ns,100.25,98.245,101.2525,9.0,NiftyMicroCap250
ISGEC.ns,645.5,638.0289880371093,651.955,1.0,NiftyMicroCap250
KTKBANK.ns,153.9499969482422,156.26099700927733,155.4894969177246,6.0,NiftyMicroCap250
MIDHANI.ns,258.70001220703125,281.7989880371094,261.2870123291016,3.0,NiftyMicroCap250
NRBBEARING.ns,193.3500061035156,191.54099700927733,195.2835061645508,5.0,NiftyMicroCap250
SIYSIL.ns,558.5999755859375,550.7000122070312,564.1859753417968,1.0,NiftyMicroCap250
PCJEWELLER.ns,27.75,27.391000747680664,28.0275,36.0,NiftyMicroCap250
INOXWIND.ns,155.39999389648438,161.50400299072265,156.9539938354492,6.0,NiftyMicroCap250
ANANTRAJ.ns,169.4499969482422,166.5500030517578,171.1444969177246,5.0,NiftyMicroCap250
ASTRAMICRO.ns,356.04998779296875,350.7419940185547,359.61048767089846,2.0,NiftyMicroCap250
BAJAJCON.ns,184.8999938964844,183.4499969482422,186.74899383544923,5.0,NiftyMicroCap250
DEN.ns,34.79999923706055,34.20200149536133,35.14799922943115,28.0,NiftyMicroCap250
FUSION.ns,534.5,526.4070239257812,539.845,1.0,NiftyMicroCap250
GLS.ns,603.25,591.185,609.2825,1.0,NiftyMicroCap250
JISLJALEQS.ns,42.29999923706055,41.79700149536133,42.72299922943115,23.0,NiftyMicroCap250
KIRLOSBROS.ns,612.9000244140625,600.6420239257812,619.0290246582032,1.0,NiftyMicroCap250
MOIL.ns,164.4499969482422,161.39999389648438,166.0944969177246,6.0,NiftyMicroCap250
POKARNA.ns,395.8999938964844,387.9819940185547,399.8589938354492,2.0,NiftyMicroCap250
PRICOLLTD.ns,238.25,235.6999969482422,240.6325,4.0,NiftyMicroCap250
RAILTEL.ns,130.10000610351562,127.84099700927734,131.40100616455078,7.0,NiftyMicroCap250
RUPA.ns,272.0,267.70001220703125,274.72,3.0,NiftyMicroCap250
SBCL.ns,649.7999877929688,636.8039880371093,656.2979876708985,1.0,NiftyMicroCap250
SOUTHBANK.ns,18.299999237060547,17.933999252319335,18.48299922943115,54.0,NiftyMicroCap250
GRSE.ns,598.5,586.53,604.485,1.0,NiftyMicroCap250
HEIDELBERG.ns,176.14999389648438,174.5500030517578,177.91149383544922,5.0,NiftyMicroCap250
JKTYRE.ns,193.0,189.28699401855468,194.93,5.0,NiftyMicroCap250
MARKSANS.ns,93.25,91.385,94.1825,10.0,NiftyMicroCap250
LGBBROSLTD.ns,864.5499877929688,847.2589880371094,873.1954876708985,1.0,NiftyMicroCap250
PRUDENT.ns,950.0,931.0,959.5,1.0,NiftyMicroCap250
TIPSINDLTD.ns,221.3999938964844,216.97199401855468,223.6139938354492,4.0,NiftyMicroCap250
WELENT.ns,191.0,187.18,192.91,5.0,NiftyMicroCap250
