,buy_price,stop_loss,sell_target,Quantity,Bucket
BSE.ns,579.1500244140625,570.0,584.9415246582031,5.0,Niftysmallcap100
BDL.ns,1145.949951171875,1173.4029760742187,1157.4094506835938,2.0,Niftysmallcap100
CANFINHOME.ns,755.9500122070312,741.1739880371093,763.5095123291015,3.0,Niftysmallcap100
GLENMARK.ns,644.3499755859375,635.04,650.7934753417969,4.0,Niftysmallcap100
HUDCO.ns,59.20000076293945,58.650001525878906,59.79200077056885,50.0,Niftysmallcap100
IDFC.ns,106.3000030517578,106.33,107.3630030822754,28.0,Niftysmallcap100
INDIACEM.ns,225.6999969482422,221.5500030517578,227.9569969177246,13.0,Niftysmallcap100
INTELLECT.ns,609.5999755859375,600.5,615.6959753417968,4.0,Niftysmallcap100
MEDPLUS.ns,785.0,786.8910119628906,792.85,3.0,Niftysmallcap100
MCX.ns,1585.25,1588.1879760742188,1601.1025,1.0,Niftysmallcap100
PRAJIND.ns,391.0,387.2999877929688,394.91,7.0,Niftysmallcap100
ROUTE.ns,1584.1500244140625,1552.4670239257812,1599.9915246582032,1.0,Niftysmallcap100
TRIVENI.ns,287.3999938964844,282.6319940185547,290.27399383544923,10.0,Niftysmallcap100
KARURVYSYA.ns,119.6999969482422,124.75400299072265,120.8969969177246,25.0,Niftysmallcap100
RAYMOND.ns,1676.0,1710.835,1692.76,1.0,Niftysmallcap100
KALYANKJIL.ns,125.6500015258789,131.02599700927735,126.9065015411377,23.0,Niftysmallcap100
COCHINSHIP.ns,584.1500244140625,577.6120239257813,589.9915246582032,5.0,Niftysmallcap100
CESC.ns,72.05000305175781,71.30000305175781,72.7705030822754,41.0,Niftysmallcap100
