Symbol,Date,Action,Price,Shares,TradeValue,Taxes
ADANIENT.NS,2023-05-29 10:34:13.013491,Sell,2537.75,39.24800966788863,99601.63653468437,39.66752704924915
ADANIGREEN.NS,2023-05-29 10:34:23.936564,Buy,978.25,102.22335803731151,100000.0,54.82618
TATACONSUM.NS,2023-05-29 13:03:06.358865,Sell,790.7000122070312,20.0,15814.000244140623,6.298112202431884
DIVISLAB.NS,2023-05-29 14:07:31.545697,Sell,3479.64990234375,20.0,69592.998046875,27.71623266954492
MARUTI.NS,2023-05-29 14:11:10.026033,Sell,9346.099609375,20.0,186921.9921875,74.44388906817967
PIIND.NS,2023-05-29 14:11:12.806875,Buy,3511.75,28.47583113832135,100000.0,54.82618
PIDILITIND.NS,2023-05-29 14:11:14.787183,Buy,2581.949951171875,38.73041766538224,100000.0,54.82618
ADANIGREEN.NS,2023-05-29 15:21:46.278243,Sell,974.9000244140624,102.22335803731151,99657.55424626244,39.68979693771413
HDFCAMC.NS,2023-05-29 15:25:15.616755,Buy,1875.699951171875,53.31343104078204,100000.0,54.82618
HEROMOTOCO.NS,2023-05-31 10:39:21.133908,Sell,2772.85009765625,20.0,55457.001953125,22.08640542045508
IRCTC.NS,2023-05-31 10:39:27.585337,Buy,647.75,154.38054805094558,100000.0,54.82618
TATAPOWER.NS,2023-05-31 11:11:49.431492,Sell,216.0,20.0,4320.0,1.7204909759999996
ADANIPORTS.NS,2023-05-31 12:48:02.080015,Sell,736.0499877929688,137.36263736263737,101105.76755397924,40.26656497642936
TATAMOTORS.NS,2023-05-31 13:34:16.421135,Buy,525.1500244140625,190.4217753994685,100000.0,54.82618
