Bucket,Symbol,Date,Action,Price,Shares,TradeValue,Taxes
NIFTYMIDCAP100,AUROPHARMA.ns,2023-07-27 11:15:32.746245,Buy,826.5999755859375,9.0,7439.399780273437,4.078738714452319
NIFTYMIDCAP100,BHEL.ns,2023-07-27 11:15:34.523943,Buy,102.8499984741211,77.0,7919.449882507324,4.341931847593253
NIFTYMIDCAP100,COROMANDEL.ns,2023-07-27 11:15:35.142079,Buy,1018.25,7.0,7127.75,3.907873044950001
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-27 11:15:37.241844,Buy,2452.300048828125,3.0,7356.900146484375,4.033507316731787
NIFTYMIDCAP100,ESCORTS.ns,2023-07-27 11:15:37.878105,Buy,2445.050048828125,3.0,7335.150146484375,4.021582622581787
NIFTYMIDCAP100,GLAND.ns,2023-07-27 11:15:39.890304,Buy,1224.449951171875,6.0,7346.69970703125,4.027914805436425
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-27 11:15:40.627556,Buy,1691.5999755859375,4.0,6766.39990234375,3.709758589978809
NIFTYMIDCAP100,IPCALAB.ns,2023-07-27 11:15:43.384255,Buy,814.75,9.0,7332.75,4.020266713949999
NIFTYMIDCAP100,L&TFH.ns,2023-07-27 11:15:44.213269,Buy,131.1999969482422,60.0,7871.999816894531,4.315916789210266
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 11:15:44.918459,Buy,978.0999755859376,8.0,7824.7998046875,4.290038825557617
NIFTYMIDCAP100,MPHASIS.ns,2023-07-27 11:15:48.864292,Buy,2280.5,3.0,6841.5,3.7509331047
NIFTYMIDCAP100,NHPC.ns,2023-07-27 11:15:49.580991,Buy,49.400001525878906,161.0,7953.400245666504,4.360545534809559
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 11:15:50.911644,Buy,1093.0,7.0,7651.0,4.194751031799999
NIFTYMIDCAP100,PFC.ns,2023-07-27 11:15:53.667566,Buy,253.8000030517578,31.0,7867.800094604492,4.313614241908028
NIFTYMIDCAP100,SAIL.ns,2023-07-27 11:15:55.755017,Buy,92.9000015258789,86.0,7989.400131225586,4.380282896865976
NIFTYMIDCAP100,UNIONBANK.ns,2023-07-27 11:15:58.442972,Buy,92.1500015258789,86.0,7924.900131225586,4.344920010765976
NIFTYMIDCAP100,ZEEL.ns,2023-07-27 11:15:59.714248,Buy,240.3999938964844,33.0,7933.199798583984,4.349470401331292
NIFTYMIDCAP100,ZYDUSLIFE.ns,2023-07-27 11:16:00.391307,Buy,644.2999877929688,12.0,7731.599853515625,4.238940852568212
NIFTYMIDCAP100,ZEEL.ns,2023-07-27 11:22:57.415992,Sell,239.1000061035156,33.0,7890.300201416016,3.142405160756305
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 11:36:42.206316,Sell,973.4000244140624,8.0,7787.2001953125,3.101344366745508
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 11:43:38.922709,Buy,974.2999877929688,8.0,7794.39990234375,4.273371720378808
NIFTYMIDCAP100,BHEL.ns,2023-07-27 11:46:57.849082,Sell,102.25,77.0,7873.25,3.13561471685
NIFTYMIDCAP100,COROMANDEL.ns,2023-07-27 11:53:56.468260,Sell,1015.3499755859376,7.0,7107.4498291015625,2.83062576234768
NIFTYMIDCAP100,FORTIS.ns,2023-07-27 12:01:04.254459,Buy,340.04998779296875,23.0,7821.149719238281,4.288037623139075
NIFTYMIDCAP100,COROMANDEL.ns,2023-07-27 12:04:29.508523,Buy,1017.0499877929688,7.0,7119.349914550781,3.903267598981457
NIFTYMIDCAP100,PFC.ns,2023-07-27 12:04:46.019984,Sell,252.1999969482422,31.0,7818.199905395508,3.1136903670826444
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 12:08:10.541713,Sell,974.0,8.0,7792.0,3.103255945599999
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 12:15:10.658893,Buy,977.6500244140624,8.0,7821.2001953125,4.288065297242382
NIFTYMIDCAP100,L&TFH.ns,2023-07-27 12:29:07.520541,Sell,130.75,60.0,7845.0,3.124363821
NIFTYMIDCAP100,PEL.ns,2023-07-27 12:32:42.583015,Buy,1105.0,7.0,7735.0,4.240805023
NIFTYMIDCAP100,IPCALAB.ns,2023-07-27 12:36:05.215033,Sell,826.0,9.0,7434.0,2.9606782212
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-27 12:39:31.637125,Sell,1705.25,4.0,6821.0,2.7165437377999995
NIFTYMIDCAP100,ZYDUSLIFE.ns,2023-07-27 12:39:49.562537,Sell,648.9000244140625,12.0,7786.80029296875,3.101185100918261
NIFTYMIDCAP100,IPCALAB.ns,2023-07-27 12:43:05.054072,Buy,827.2000122070312,9.0,7444.800109863281,4.08169950887384
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-27 12:46:28.489092,Sell,2455.10009765625,3.0,7365.30029296875,2.9333177522182616
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-27 12:46:31.915013,Buy,1707.3499755859375,4.0,6829.39990234375,3.744299083378809
NIFTYMIDCAP100,ZYDUSLIFE.ns,2023-07-27 12:46:48.812171,Buy,651.5999755859375,12.0,7819.19970703125,4.286968505936426
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-27 12:53:34.193556,Buy,2464.699951171875,3.0,7394.099853515625,4.053902495068213
NIFTYMIDCAP100,NHPC.ns,2023-07-27 12:57:11.783828,Sell,49.25,161.0,7929.25,3.15791737765
NIFTYMIDCAP100,PEL.ns,2023-07-27 12:57:14.391953,Sell,1099.25,7.0,7694.75,3.06452498555
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 13:00:43.102349,Sell,1100.3499755859375,7.0,7702.449829101562,3.06759153334768
NIFTYMIDCAP100,UNIONBANK.ns,2023-07-27 13:00:50.653912,Sell,91.6999969482422,86.0,7886.199737548828,3.140772102635723
NIFTYMIDCAP100,PEL.ns,2023-07-27 13:04:15.688032,Buy,1100.6500244140625,7.0,7704.550170898437,4.224110544887085
NIFTYMIDCAP100,GLAND.ns,2023-07-27 13:07:35.055569,Sell,1267.1500244140625,6.0,7602.900146484375,3.02794469755913
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 13:07:43.088945,Buy,1101.4000244140625,7.0,7709.800170898437,4.226988919337085
NIFTYMIDCAP100,GLAND.ns,2023-07-27 13:14:31.707368,Buy,1267.550048828125,6.0,7605.30029296875,4.1696956281635735
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 13:35:28.642128,Sell,982.75,8.0,7862.0,3.1311342715999992
NIFTYMIDCAP100,PEL.ns,2023-07-27 13:35:33.351232,Sell,1107.949951171875,7.0,7755.649658203125,3.088778993045361
NIFTYMIDCAP100,PEL.ns,2023-07-27 13:42:30.479545,Buy,1109.0,7.0,7763.0,4.2561563534
NIFTYMIDCAP100,ALKEM.ns,2023-07-27 13:45:40.691503,Buy,4033.64990234375,1.0,4033.64990234375,2.2114961560288084
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 13:45:57.115607,Buy,982.0,8.0,7856.0,4.3071447008
NIFTYMIDCAP100,COROMANDEL.ns,2023-07-27 13:56:14.439638,Sell,1004.0999755859376,7.0,7028.6998291015625,2.79926264559768
NIFTYMIDCAP100,ESCORTS.ns,2023-07-27 14:06:42.195912,Sell,2453.0,3.0,7359.0,2.9308085862
NIFTYMIDCAP100,IPCALAB.ns,2023-07-27 14:06:47.453629,Sell,828.1500244140625,9.0,7453.350219726562,2.968384674538696
NIFTYMIDCAP100,AUROPHARMA.ns,2023-07-27 14:10:04.077592,Sell,838.4500122070312,9.0,7546.050109863281,3.005303499644348
NIFTYMIDCAP100,LUPIN.ns,2023-07-27 14:10:16.398445,Sell,977.5,8.0,7820.0,3.1144072759999992
NIFTYMIDCAP100,FORTIS.ns,2023-07-27 14:13:40.841960,Sell,341.70001220703125,23.0,7859.100280761719,3.129979424196667
NIFTYMIDCAP100,ZYDUSLIFE.ns,2023-07-27 14:13:58.054572,Sell,651.6500244140625,12.0,7819.80029296875,3.1143277403182617
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-27 14:17:09.743570,Sell,1704.1500244140625,4.0,6816.60009765625,2.714791424772754
NIFTYMIDCAP100,IPCALAB.ns,2023-07-27 14:24:07.443016,Buy,827.0,9.0,7443.0,4.0807125774
NIFTYMIDCAP100,SAIL.ns,2023-07-27 14:27:50.701366,Sell,92.3000030517578,86.0,7937.800262451172,3.161322620564276
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 14:34:43.102515,Sell,1110.699951171875,7.0,7774.899658203125,3.096445532695361
NIFTYMIDCAP100,PEL.ns,2023-07-27 14:34:44.463761,Sell,1097.0,7.0,7679.0,3.0582523622
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-27 14:38:00.897661,Sell,2472.0,3.0,7416.0,2.9535095087999994
NIFTYMIDCAP100,GLAND.ns,2023-07-27 14:38:03.514240,Sell,1265.199951171875,6.0,7591.19970703125,3.0232848594817376
NIFTYMIDCAP100,MPHASIS.ns,2023-07-27 14:38:09.428602,Sell,2282.050048828125,3.0,6846.150146484375,2.7265600804091306
NIFTYMIDCAP100,ALKEM.ns,2023-07-27 14:41:23.848013,Sell,4028.0,1.0,4028.0,1.6041985303999995
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-27 14:45:01.328760,Buy,2474.10009765625,3.0,7422.30029296875,4.069363718763573
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 14:45:12.288559,Buy,1108.199951171875,7.0,7757.399658203125,4.25308589992583
NIFTYMIDCAP100,ALKEM.ns,2023-07-27 14:51:51.697618,Buy,4027.550048828125,1.0,4027.550048828125,2.208151839360596
NIFTYMIDCAP100,GLAND.ns,2023-07-27 14:52:01.596143,Buy,1262.0,6.0,7572.0,4.151438349599999
NIFTYMIDCAP100,BHEL.ns,2023-07-27 15:16:19.190405,Buy,103.8000030517578,77.0,7992.600234985352,4.382037391513491
NIFTYMIDCAP100,GLAND.ns,2023-07-27 15:27:14.953499,Sell,1260.0,6.0,7560.0,3.0108592080000003
NIFTYMIDCAP100,OBEROIRLTY.ns,2023-07-27 15:27:25.737190,Sell,1110.5999755859375,7.0,7774.199829101562,3.09616681749768
NIFTYMIDCAP100,ALKEM.ns,2023-07-28 09:19:27.815318,Sell,4008.449951171875,1.0,4008.449951171875,1.5964124927636227
NIFTYMIDCAP100,BHEL.ns,2023-07-28 09:19:31.910858,Sell,102.9499969482422,77.0,7927.149765014648,3.1570809342843105
NIFTYMIDCAP100,LALPATHLAB.ns,2023-07-28 09:19:54.980865,Sell,2403.0,3.0,7209.0,2.8710693162
NIFTYMIDCAP100,ABFRL.ns,2023-07-28 11:17:31.057320,Buy,220.3000030517578,36.0,7930.800109863281,4.34815474367384
NIFTYMIDCAP100,BHARATFORG.ns,2023-07-28 11:17:34.704607,Buy,902.9500122070312,8.0,7223.60009765625,3.96042399202119
NIFTYMIDCAP100,ESCORTS.ns,2023-07-28 11:17:36.671447,Buy,2511.0,3.0,7533.0,4.1300561394
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-28 11:17:38.537473,Buy,1751.75,4.0,7007.0,3.841670432599999
NIFTYMIDCAP100,NHPC.ns,2023-07-28 11:17:41.780500,Buy,49.84999847412109,160.0,7975.999755859375,4.372935982947022
NIFTYMIDCAP100,SYNGENE.ns,2023-07-28 11:17:47.260244,Buy,820.1500244140625,9.0,7381.350219726562,4.04691235789768
NIFTYMIDCAP100,SUNTV.ns,2023-07-28 11:21:10.092302,Buy,540.7000122070312,14.0,7569.800170898437,4.150232267337085
NIFTYMIDCAP100,ZEEL.ns,2023-07-28 11:21:14.413539,Buy,239.5500030517578,33.0,7905.150100708008,4.3340918234843535
NIFTYMIDCAP100,PFC.ns,2023-07-28 11:27:52.123389,Buy,254.5,31.0,7889.5,4.3255114711
NIFTYMIDCAP100,SUNTV.ns,2023-07-28 11:31:13.860168,Sell,537.4000244140625,14.0,7523.600341796875,2.9963626146046387
NIFTYMIDCAP100,ABFRL.ns,2023-07-28 12:17:37.559059,Sell,219.5,36.0,7902.0,3.147064743599999
NIFTYMIDCAP100,ABFRL.ns,2023-07-28 12:27:43.169145,Buy,220.3000030517578,36.0,7930.800109863281,4.34815474367384
NIFTYMIDCAP100,PFC.ns,2023-07-28 12:38:07.666062,Sell,254.1000061035156,31.0,7877.100189208984,3.13714810013471
NIFTYMIDCAP100,NHPC.ns,2023-07-28 12:48:08.639400,Sell,50.09999847412109,160.0,8015.999755859375,3.1924664915681147
NIFTYMIDCAP100,GODREJPROP.ns,2023-07-28 12:54:45.091979,Sell,1757.449951171875,4.0,7029.7998046875,2.7997007238544915
NIFTYMIDCAP100,NHPC.ns,2023-07-28 13:01:33.373165,Buy,50.150001525878906,159.0,7973.850242614746,4.371757486946397
NIFTYMIDCAP100,ESCORTS.ns,2023-07-28 14:35:30.770029,Sell,2515.699951171875,3.0,7547.099853515625,3.005721572440869
NIFTYMIDCAP100,IPCALAB.ns,2023-07-28 14:48:56.195729,Sell,859.0999755859375,9.0,7731.899780273437,3.079320323911303
NIFTYMIDCAP100,NMDC.ns,2023-07-28 14:48:59.430803,Buy,112.3499984741211,71.0,7976.849891662598,4.37340207993274
NIFTYMIDCAP100,POLYCAB.ns,2023-07-28 15:05:55.816713,Buy,4745.25,1.0,4745.25,2.60163930645
NIFTYMIDCAP100,TATACOMM.ns,2023-07-28 15:05:59.035947,Buy,1775.0,4.0,7100.0,3.89265878
NIFTYMIDCAP100,BHARATFORG.ns,2023-07-28 15:19:10.528071,Sell,901.8499755859376,8.0,7214.7998046875,2.873379156854492
NIFTYMIDCAP100,ZEEL.ns,2023-07-28 15:26:08.956006,Sell,244.1499938964844,33.0,8056.949798583984,3.2087753292936942
NIFTYMIDCAP100,SYNGENE.ns,2023-07-31 09:15:29.828744,Sell,819.7999877929688,9.0,7378.199890136719,2.9384551690056515
NIFTYMIDCAP100,NHPC.ns,2023-07-31 09:22:11.529407,Sell,50.0,159.0,7950.0,3.16618131
NIFTYMIDCAP100,POLYCAB.ns,2023-07-31 09:29:06.153381,Sell,4795.2998046875,1.0,4795.2998046875,1.909784731754492
