Bucket,Symbol,Date,Action,Price,Shares,TradeValue,Taxes
Nifty100,CANBK.NS,16:35.6,Buy,345.6499939,144.0,49773.59912,27.28896305
Nifty100,CIPLA.NS,16:36.2,Buy,1167.0,42.0,49014.0,26.87250387
Nifty100,DRREDDY.NS,16:36.8,Buy,5575.950195,8.0,44607.60156,24.45664393
Nifty100,PGHH.NS,16:46.4,Buy,15876.90039,3.0,47630.70117,26.11409396
Nifty100,SUNPHARMA.NS,16:47.8,Buy,1132.150024,44.0,49814.60107,27.31144285
Nifty100,DRREDDY.NS,33:09.5,Sell,5542.049805,8.0,44336.39844,17.65749385
Nifty100,DRREDDY.NS,43:07.0,Buy,5540.399902,9.0,49863.59912,27.33830661
Nifty100,PGHH.NS,49:54.7,Sell,15822.0,3.0,47466.0,18.9038946
Nifty100,PGHH.NS,56:32.3,Buy,15829.34961,3.0,47488.04883,26.03588313
Nifty100,PGHH.NS,09:50.3,Sell,15740.5498,3.0,47221.64941,18.80657909
Nifty100,MCDOWELL-N.NS,33:06.7,Buy,994.0999756,50.0,49704.99878,27.2513521
Nifty100,CIPLA.NS,39:32.4,Sell,1161.599976,42.0,48787.19897,19.43007768
Nifty100,DRREDDY.NS,42:52.8,Sell,5580.5,9.0,50224.5,20.00249977
Nifty100,CIPLA.NS,46:11.5,Buy,1170.099976,42.0,49144.19897,26.94388699
Nifty100,DRREDDY.NS,49:30.5,Buy,5574.799805,8.0,44598.39844,24.4515982
Nifty100,CANBK.NS,06:04.5,Sell,344.75,144.0,49644.0,19.7713088
Nifty100,NTPC.NS,16:05.8,Buy,202.0,247.0,49894.0,27.35497425
Nifty100,CIPLA.NS,29:16.8,Sell,1184.800049,42.0,49761.60205,19.8181452
Nifty100,DRREDDY.NS,35:53.4,Sell,5577.0,8.0,44616.0,17.76884847
Nifty100,SUNPHARMA.NS,02:38.5,Sell,1144.099976,44.0,50340.39893,20.04865789
Nifty100,SUNPHARMA.NS,09:13.7,Buy,1142.550049,43.0,49129.6521,26.93591149
Nifty100,NTPC.NS,35:39.8,Sell,201.6499939,247.0,49807.54849,19.83644392
Nifty100,SUNPHARMA.NS,35:42.5,Sell,1133.5,43.0,48740.5,19.41147926
Nifty100,NTPC.NS,42:15.4,Buy,201.8999939,247.0,49869.29849,27.34143136
Nifty100,HEROMOTOCO.NS,21:58.4,Buy,3155.0,15.0,47325.0,25.94648969
